Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL
33,1,,,,,,18635.575357142858,,,,,
34,1,1.0,3.0,1.0,1.0,,188.60857142857142,1343.2589285714287,0.0,0.0,728.6689285714285,
35,1,,,1.0,,,14.863214285714287,,,0.0,,
36,1,1.0,2.0,,,,60.99785714285714,1912.6325,3697.8375,,,
37,1,1.0,,,,,19.013571428571428,3850.1732142857145,,,,
38,1,1.0,,,,,6398.112142857143,7908.8832142857145,,,,
39,1,,,,,1.0,1548.2375,,,,,286.72357142857146
40,1,,,,,,871.7367857142857,,,,,
41,1,,,1.0,,,194.9557142857143,,,1373.3428571428572,,
42,1,,12.0,,,,875.3714285714286,,0.0,,,
43,1,,,1.0,,,26315.770357142854,,,0.0,,
44,1,,,,,,186.8460714285714,,,,,
45,1,1.0,,,,,0.0,38757.89464285714,,,,
46,1,1.0,1.0,,,,503.99357142857144,3628.3885714285716,1891.0521428571428,,,
47,1,1.0,5.0,,,,622.2275,1537.0542857142857,0.0,,,
48,1,,5.0,1.0,,,2418.3175,,59721.75928571429,0.0,,
49,2,,,,,,4.145357142857143,,,,,
50,1,,,,,,169.5635714285714,,,,,
51,1,1.0,,1.0,,,1856.7185714285715,5.896071428571429,,0.0,,
52,1,,,,1.0,,960.5725,,,,0.4642857142857143,
53,1,1.0,9.0,1.0,1.0,,0.0,7522.666428571429,83343.19785714286,531.1228571428571,398.34785714285715,
54,1,,,,,1.0,4.55,,,,,7857.142857142857
55,1,,,,,,735.1589285714286,,,,,
56,1,1.0,,,,,583.7142857142857,2907.094285714286,,,,
57,1,,,,,,1155.26,,,,,
58,1,,6.0,,,,1263.0528571428572,,1793.8999999999999,,,
59,1,,,,,,5676.246428571429,,,,,
60,1,,,,,,3891.1160714285716,,,,,
61,1,,,,,,232.83535714285716,,,,,
62,1,,,,,,317.9525,,,,,
63,1,1.0,2.0,,,,351.8014285714286,17220.452857142856,5616.197857142857,,,
64,1,,,1.0,,,0.7596428571428572,,,0.0,,
65,1,,,,,,220.45892857142857,,,,,
66,1,1.0,1.0,,1.0,,101.32392857142858,4104.848928571429,0.0,,671.9992857142857,
67,1,,,,,,1682.8132142857141,,,,,
68,1,,,1.0,,,4714.448214285714,,,0.0,,
69,1,,,,,,1909.81,,,,,
70,1,,,,,,346.48535714285714,,,,,
71,1,,,1.0,,,53.59607142857143,,,0.0,,
72,1,,,,,,1377.3742857142859,,,,,
73,1,1.0,1.0,1.0,,,179.35714285714286,21.01607142857143,53571.42857142857,0.0,,
74,1,1.0,,,1.0,,736.7660714285714,0.0,,,18.76214285714286,
75,1,1.0,35.0,,,,3707.065714285714,5589.0225,4392.478571428571,,,
76,1,,,1.0,1.0,1.0,178.30857142857144,,,0.0,886.5778571428572,3447.6735714285714
77,1,,,,,,168.1757142857143,,,,,
78,1,,,,,,3684.7542857142857,,,,,
79,1,2.0,1.0,,,,340.195,901.5539285714285,4771.731071428571,,,
80,1,,,,,,2756.8267857142855,,,,,
81,1,,,,,,5860.190714285714,,,,,
82,1,,1.0,,,,11324.907857142856,,34612.790357142854,,,
83,1,3.0,7.0,,,,14.855,90800.88214285715,0.0,,,
84,2,,,,,,0.0,,,,,
85,1,,,1.0,,,364.4975,,,0.0,,
86,1,,,,,,34.32214285714286,,,,,
87,1,,19.0,,,,826.4403571428572,,1035.577142857143,,,
88,1,,,,,,7153.650000000001,,,,,
89,1,1.0,2.0,,,,137.70142857142858,893.1703571428571,1462.0660714285714,,,
90,1,,,,,,649.5714285714286,,,,,
91,1,,,,,,0.0,,,,,
92,1,,,,,,2728.945714285714,,,,,
93,1,2.0,,1.0,1.0,,8.870357142857143,3655.8189285714284,,23.064285714285713,1.4285714285714286,
94,1,1.0,,,,,8079.0425000000005,7620.556071428572,,,,
95,1,,,1.0,,1.0,3662.217857142857,,,0.0,,2812.0667857142857
96,1,1.0,2.0,,,,22.32857142857143,2077.6125,14285.714285714286,,,
97,1,1.0,,1.0,,1.0,67.99249999999999,6082.5599999999995,,142.06607142857143,,809.465
98,1,,,1.0,,,468.46964285714284,,,0.0,,
99,1,,12.0,,,,22.898571428571426,,4689.070357142858,,,
100,1,,,,1.0,1.0,0.0,,,,247.4932142857143,802.8071428571428
101,1,1.0,2.0,,,,473.3592857142857,452.28214285714284,14429.051428571429,,,
102,1,,,1.0,,,48.771071428571425,,,114.14,,
103,1,,,,,,42.99071428571428,,,,,
104,1,1.0,1.0,,,,501.29,41481.50785714285,0.0,,,
105,1,,,,,,670.2957142857142,,,,,
106,1,,3.0,,,,112.35000000000001,,0.0,,,
107,1,,,,,,23.330714285714286,,,,,
108,1,2.0,,1.0,,,816.8389285714286,0.0,,0.0,,
109,1,,,,,,1113.5185714285715,,,,,
110,1,1.0,1.0,,,,62.47035714285715,1146.4957142857143,0.0,,,
111,1,,,1.0,,,0.0,,,31.5575,,
112,1,,,,,,204.46142857142857,,,,,
113,1,,,1.0,,1.0,50.78071428571428,,,0.0,,17300.489642857145
114,1,,,,1.0,,35.714285714285715,,,,1068.2096428571429,
115,1,,,,,,415.8978571428571,,,,,
116,1,,,,,,637.8357142857143,,,,,
117,4,,,1.0,,,0.0,,,0.0,,
118,1,1.0,2.0,,,,1184.9382142857141,5876.2814285714285,23214.285714285714,,,
119,1,1.0,3.0,,,,194.95892857142857,3573.113214285714,8287.8875,,,
120,1,2.0,,,,,156.81750000000002,4.548571428571429,,,,
121,1,1.0,1.0,1.0,1.0,,37.82142857142857,541.4121428571428,329.60785714285714,98.14071428571428,2.357142857142857,
122,1,,,,,,1392.7667857142858,,,,,
123,2,,,,,,8883.968214285715,,,,,
124,1,,,1.0,,,120.495,,,0.0,,
125,1,,,1.0,1.0,,0.0,,,0.0,108.12071428571429,
126,1,,,1.0,,,70.79964285714286,,,0.0,,
127,1,,,1.0,,,2893.112857142857,,,676.7528571428572,,
128,1,,,1.0,,,31.292857142857144,,,0.0,,
129,1,,,,,,1103.6585714285713,,,,,
130,1,,,1.0,,,12.750357142857142,,,681.5203571428572,,
131,1,,,,,,898.485,,,,,
132,1,1.0,,,,,79.41857142857143,1259.155,,,,
133,1,,,,,,140.6675,,,,,
134,1,,,,,1.0,2809.1978571428567,,,,,7237.215357142857
135,1,,,,,,184.10607142857143,,,,,
136,1,,,,,,564.9810714285715,,,,,
137,3,,1.0,,,,185.72214285714287,,0.0,,,
138,1,,,,,,114.59142857142857,,,,,
139,1,,,1.0,1.0,,1653.9632142857142,,,0.0,940.5742857142858,
140,1,,,1.0,,,7337.821785714286,,,0.0,,
141,1,1.0,4.0,,,,36.60178571428571,4264.655,0.0,,,
142,1,,,,,,1511.6839285714286,,,,,
143,1,,,,1.0,,0.0,,,,853.2671428571429,
144,1,,,,,,1214.7921428571428,,,,,
145,1,1.0,,,,,78.52464285714287,57205.47107142857,,,,
146,1,,,,,,0.25821428571428573,,,,,
147,1,,,,,,125.5625,,,,,
148,1,,3.0,,,,132.09857142857143,,5560.714285714285,,,
149,1,,,,,,574.6835714285714,,,,,
150,1,,,1.0,,,11.594285714285714,,,0.0,,
151,1,1.0,,,,,3053.753928571429,42257.00178571429,,,,
152,1,,,1.0,,,4230.166428571429,,,0.0,,
153,1,1.0,,1.0,,,936.1510714285714,2514.2160714285715,,0.0,,
154,1,,,,,,785.9264285714286,,,,,
155,1,,,,,,0.0,,,,,
156,1,1.0,1.0,,,,417.8764285714286,6458.979285714287,9760.005357142858,,,
157,1,,,,,,3970.2717857142857,,,,,
158,1,1.0,,,,,326.6303571428571,16117.897142857142,,,,
159,1,,,,,,1577.5682142857145,,,,,
160,1,,,,,,3314.279642857143,,,,,
161,1,1.0,2.0,,,,154.92928571428573,86.97535714285713,32280.21392857143,,,
162,1,,,,,,1.9646428571428571,,,,,
163,1,1.0,2.0,,,,1304.829642857143,3096.087142857143,1687.600357142857,,,
164,1,1.0,9.0,,,,2690.460357142857,2579.9832142857144,2851.1207142857143,,,
165,1,,,,,,17.86857142857143,,,,,
166,1,,,1.0,,1.0,15.797142857142857,,,754.9014285714286,,2216.4814285714288
167,1,,,,,,3446.8114285714287,,,,,
168,1,1.0,,1.0,,,71.42857142857143,17921.309285714284,,0.0,,
169,1,,,,,,1106.4257142857143,,,,,
170,1,,,,,,0.0,,,,,
171,1,,,,,,4112.732857142857,,,,,
172,1,3.0,,,1.0,,0.041428571428571426,4191.274285714286,,,28.97142857142857,
173,1,,,,,,3913.7982142857145,,,,,
174,1,,,1.0,,1.0,70.76928571428572,,,532.6324999999999,,14233.636071428571
175,1,,,,,2.0,0.07071428571428572,,,,,20749.29464285714
176,1,,,,,,343.9407142857143,,,,,
177,1,,,,,,3515.7771428571427,,,,,
178,1,1.0,,,,,86.61035714285715,0.11035714285714285,,,,
179,1,,,,,,11.684642857142858,,,,,
180,1,,,,,,902.4875000000001,,,,,
181,1,1.0,,,,,549.2064285714285,36.613214285714285,,,,
182,1,,,,,,443.98857142857145,,,,,
183,1,,,,,,4726.620714285715,,,,,
184,1,,,,,,160.90321428571428,,,,,
185,1,,,,,,5733.328214285714,,,,,
186,1,,,1.0,,1.0,981.5882142857143,,,0.0,,8742.690357142857
187,1,1.0,25.0,,,,923.9675,456.4010714285714,0.0,,,
188,1,,,1.0,,,748.6853571428571,,,0.0,,
189,2,,,,,1.0,18245.913214285716,,,,,6001.416785714287
190,1,1.0,,1.0,,,3732.89,6177.329642857143,,157.9267857142857,,
191,1,,,,,,1047.5860714285714,,,,,
192,1,2.0,4.0,,,,5.295357142857143,12783.565,367.85714285714283,,,
193,1,1.0,,,,,142.9532142857143,106.15285714285714,,,,
194,1,,,,,,239.06392857142856,,,,,
195,1,,,,,,5826.981428571429,,,,,
196,1,1.0,,,,,56.396071428571425,0.045714285714285714,,,,
197,1,1.0,4.0,,,,686.3078571428571,191591.18964285712,0.0,,,
198,1,,3.0,,,,3991.9914285714285,,0.0,,,
199,1,,,,,1.0,151.82464285714286,,,,,4461.236428571428
200,2,,2.0,,1.0,,0.0,,0.0,,476.7142857142857,
201,2,,,,,,5112.856428571429,,,,,
202,1,,,1.0,1.0,,42.95142857142857,,,0.0,254.98964285714285,
203,1,,,,,,10.772857142857143,,,,,
204,1,,,,,,0.6821428571428572,,,,,
205,1,,,1.0,,,3234.503214285714,,,29.37607142857143,,
206,1,1.0,,,,,11335.070714285714,22893.82285714286,,,,
207,1,,,,,,176.65142857142857,,,,,
208,1,,,,,,1.04,,,,,
209,1,,,,,,6833.382857142858,,,,,
210,1,1.0,7.0,1.0,1.0,1.0,60226.14178571429,2501.6967857142854,0.0,0.0,494.0885714285714,1193.524642857143
211,1,1.0,15.0,1.0,,,6047.5882142857145,1610.6814285714286,303.24321428571426,272.93928571428575,,
212,1,,,1.0,,,226.81428571428572,,,386.6507142857143,,
213,1,,,,,,2462.121785714286,,,,,
214,1,,,1.0,1.0,,565.8,,,0.0,3522.2335714285714,
215,1,,,,,,12891.626785714285,,,,,
216,1,,,1.0,,,192.09071428571428,,,246.51785714285714,,
217,1,1.0,,,,,8134.361428571428,0.0,,,,
218,1,,,1.0,,1.0,121.69535714285713,,,0.0,,1280.5314285714285
219,1,1.0,27.0,,,,1400.1689285714288,389883.8307142857,15095.649285714286,,,
220,1,,,1.0,,1.0,252.36035714285714,,,0.0,,293.5996428571429
221,1,,,,1.0,,1442.284642857143,,,,0.0,
222,1,,,,,,0.0,,,,,
223,1,,,,,,1899.3332142857143,,,,,
224,1,,1.0,,,,215.4725,,0.0,,,
225,1,,,1.0,,,345.6860714285714,,,618.3975,,
226,1,,,,,,15718.977857142858,,,,,
227,1,1.0,8.0,,,,4710.719642857142,7194.881071428572,0.0,,,
228,1,1.0,,,,,10138.789999999999,1.1092857142857142,,,,
229,2,,,,,,264.9557142857143,,,,,
230,1,,,1.0,,,74934.95607142858,,,0.0,,
231,2,,,1.0,,,113.78107142857142,,,0.0,,
232,1,,,,,,33.354285714285716,,,,,
233,1,,,,,,15.982142857142858,,,,,
234,1,,,1.0,,,856.344642857143,,,418.78749999999997,,
235,1,,,,,1.0,253.83214285714286,,,,,1685.7250000000001
236,1,,,,,,561.1032142857142,,,,,
237,1,,,,,,125.01785714285714,,,,,
238,1,,,,,,563.4078571428571,,,,,
239,1,1.0,10.0,,,,0.0,2.9442857142857144,227237.10428571427,,,
240,1,,1.0,,,,299.4692857142857,,6123.7132142857145,,,
241,1,,,,,,170.8567857142857,,,,,
242,1,,,,,,708.8621428571429,,,,,
243,1,1.0,11.0,,,,534.6296428571428,83283.00821428571,0.0,,,
244,1,,,,,,5.642857142857143,,,,,
245,1,,,,,,284.3885714285714,,,,,
246,2,,,,,1.0,2588.3489285714286,,,,,229.35857142857142
247,1,1.0,,,1.0,,689.3110714285714,351.86678571428575,,,0.0,
248,1,,,,,,776.5903571428571,,,,,
249,1,1.0,,,,,42.99535714285714,1733.5774999999999,,,,
250,1,,,,,,536.9514285714286,,,,,
251,1,1.0,,,,,0.0,6432.599999999999,,,,
252,1,1.0,,,,,130.73357142857142,8247.858214285714,,,,
253,1,,,1.0,1.0,,64.68964285714286,,,0.0,779.2857142857143,
254,1,,,1.0,,,1049.0621428571428,,,0.0,,
255,2,,,,,,0.2075,,,,,
256,1,,,1.0,,,572.1632142857143,,,0.0,,
257,1,,,,,1.0,265.50464285714287,,,,,9723.523214285715
258,1,,,,,,0.0,,,,,
259,1,1.0,10.0,,,,3260.1164285714285,15882.94607142857,7542.775000000001,,,
260,1,,,,,,1927.5210714285713,,,,,
261,1,,,,,,194.695,,,,,
262,1,,,,,,2614.3335714285713,,,,,
263,1,,,,,,40.81285714285714,,,,,
264,1,,,,,,4483.517142857143,,,,,
265,1,,,,,,17.795714285714286,,,,,
266,1,,,,,,1033.077857142857,,,,,
267,1,,,,,,0.0,,,,,
268,1,,11.0,,,,9317.071785714286,,35232.29535714286,,,
269,1,1.0,,1.0,,,611.0925,11325.131785714286,,984.7853571428572,,
270,1,,,,,,101.32678571428572,,,,,
271,1,2.0,1.0,,,,0.0014285714285714286,3822.741785714286,4394.670714285714,,,
272,1,,,,,,716.3985714285715,,,,,
273,1,,,,,,755.7260714285715,,,,,
274,1,,,,,,30.444285714285716,,,,,
275,1,,,,,,5221.425714285715,,,,,
276,1,,9.0,,,,18.988214285714285,,66108.25214285715,,,
277,1,,,1.0,,,423.3692857142857,,,0.0,,
278,2,,,,,,272.3232142857143,,,,,
279,3,,,1.0,,,937.21,,,0.0,,
280,1,,,,,,0.0,,,,,
281,1,,1.0,,,,355.7167857142857,,26801.155,,,
282,1,1.0,,1.0,,,750.2471428571428,6746.3125,,0.0,,
283,1,,,,,,571.7292857142858,,,,,
284,1,,,,,,2505.5635714285713,,,,,
285,1,,,,,,89.44571428571429,,,,,
286,1,,2.0,,,,22.438214285714285,,7512.695357142858,,,
287,1,,,,,,1681.3917857142858,,,,,
288,1,,,,,,3661.9582142857143,,,,,
289,1,1.0,2.0,1.0,,,152.82214285714286,6597.335,0.0,0.0,,
290,1,,,,,,132.98142857142858,,,,,
291,2,,,,,,805.28,,,,,
292,1,,,,,,1602.5182142857143,,,,,
293,1,,,,,,183.78142857142856,,,,,
294,1,1.0,13.0,,,,13.181785714285713,18834.435,0.0,,,
295,2,,,,,,2414.488214285714,,,,,
296,1,,,,,,281.0967857142857,,,,,
297,1,,,1.0,,,906.7657142857142,,,0.0,,
298,1,2.0,3.0,1.0,1.0,,18.739642857142858,71.73214285714286,0.0,0.0,0.0,
299,1,,8.0,,,,136.69285714285715,,0.0,,,
300,1,,,,,,0.0,,,,,
301,1,,,,1.0,,1231.4421428571427,,,,506.28214285714284,
302,1,1.0,1.0,,,,86.52964285714286,24364.765000000003,0.0,,,
303,3,,,1.0,1.0,,3032.8325,,,277.98785714285714,251.93571428571428,
304,1,,,,,1.0,1354.99,,,,,7570.783928571429
305,1,,,,,,234.46464285714288,,,,,
306,1,1.0,,,,,224.45428571428573,901.3535714285715,,,,
307,1,2.0,3.0,,,,1019.4682142857143,9017.009642857143,11980.378571428571,,,
308,1,,,,,,286.4214285714286,,,,,
309,1,,,,,,3116.8592857142858,,,,,
310,1,,,,,,0.0,,,,,
311,1,,3.0,,,,5780.183928571429,,22495.41178571429,,,
312,2,,,1.0,,,306.6557142857143,,,0.0,,
313,2,,,1.0,,,0.0,,,0.0,,
314,1,1.0,4.0,,,,3948.0425,3.3103571428571428,714285.7142857143,,,
315,1,,,,,,120.73714285714286,,,,,
316,1,,,,,,22.733571428571427,,,,,
317,1,,,,,,6.373928571428571,,,,,
318,1,,,,,,5254.225357142857,,,,,
319,2,1.0,1.0,1.0,,,6808.313571428572,29032.549642857142,696.8657142857144,136.04035714285715,,
320,1,,,,,,86.42857142857143,,,,,
321,1,1.0,,1.0,,,166.75500000000002,2691.2667857142856,,0.0,,
322,1,1.0,,,,,2175.27,128617.59107142857,,,,
323,1,,,,,,3743.776428571429,,,,,
324,1,,1.0,,,,11581.948214285714,,202941.60892857143,,,
325,1,,,,,2.0,38.901785714285715,,,,,5285.632142857144
326,1,,1.0,,,,30.425,,0.0,,,
327,1,2.0,,1.0,,,5811.818571428572,1796.83,,0.0,,
328,1,,,,,,2.415,,,,,
329,1,1.0,,,,,0.0,7837.5992857142855,,,,
330,1,,1.0,,,,380.0489285714286,,0.0,,,
331,1,,,,,,0.0,,,,,
332,1,,,,,,80.32857142857142,,,,,
333,1,,,,,,97.43107142857143,,,,,
334,1,,,,,,23516.17142857143,,,,,
335,1,,,,,,157.92392857142858,,,,,
336,1,1.0,,1.0,1.0,,28.7925,989.6374999999999,,0.0,531.7671428571429,
337,1,1.0,,1.0,,,188.95321428571427,3591.7307142857144,,874.1800000000001,,
338,1,,,,,,1889.4114285714284,,,,,
339,1,,,,,,490.93142857142857,,,,,
340,1,1.0,,,,,2380.0457142857144,50040.89178571429,,,,
341,1,,,,,,1724.347857142857,,,,,
342,1,,5.0,,,1.0,5435.9007142857145,,9499.57142857143,,,14516.524285714286
343,1,,,1.0,,,3723.582142857143,,,0.0,,
344,1,1.0,,1.0,,,2275.505357142857,41899.29107142857,,0.0,,
345,1,,,1.0,,,11166.44607142857,,,0.0,,
346,1,,,1.0,,,248.77142857142857,,,468.0807142857143,,
347,1,,,,,,6444.010714285714,,,,,
348,1,1.0,,1.0,,1.0,1054.365,12127.589642857143,,0.0,,6622.200357142857
349,2,2.0,,,,,247.4267857142857,0.09178571428571428,,,,
350,1,,,1.0,,,0.0,,,0.0,,
351,1,1.0,,,,,4783.925357142857,5770.629285714285,,,,
352,1,1.0,,,,,1833.3382142857142,219368.6464285714,,,,
353,1,1.0,1.0,,,,985.76,1437.1467857142857,39006.6,,,
354,1,1.0,1.0,,,,371.3732142857143,27122.085714285717,0.0,,,
355,1,,,,,,174.48499999999999,,,,,
356,1,,,,,,325.75,,,,,
357,1,,,,,,296.3975,,,,,
358,1,,,,,,0.2425,,,,,
359,1,1.0,,1.0,,,491.96214285714285,10719.377857142857,,0.0,,
360,4,1.0,,,,,5871.232142857143,18085.488214285713,,,,
361,1,1.0,1.0,,,,1642.2603571428572,1586.6567857142857,1714.2857142857142,,,
362,3,1.0,,1.0,,,677.8960714285714,3436.7785714285715,,0.0,,
363,1,,,,,,7169.007142857144,,,,,
364,1,,,,,,618.7103571428571,,,,,
365,1,,,,,,2664.743214285714,,,,,
366,1,,,1.0,,,564.0332142857143,,,0.0,,
367,1,,,,,,679.6328571428572,,,,,
368,1,,,,,,17.91857142857143,,,,,
369,1,,,,,1.0,383.25857142857143,,,,,1001.63
370,1,,,,,,368.99107142857144,,,,,
371,1,,,1.0,,,201.31678571428571,,,65.49249999999999,,
372,1,2.0,,,,,21493.719642857144,6884.011785714285,,,,
373,1,,,,,,0.0,,,,,
374,1,,,1.0,,,789.4517857142857,,,0.0,,
375,1,,,1.0,,,878.4867857142857,,,0.0,,
376,1,,,1.0,1.0,,140.06,,,0.0,617.6560714285714,
377,1,,,,,,611.6046428571428,,,,,
378,1,1.0,,1.0,,,3677.9396428571426,16080.903928571428,,0.0,,
379,1,1.0,6.0,,,,7.869642857142857,606.1792857142857,23214.285714285714,,,
380,1,,,,,,2804.529285714286,,,,,
381,1,,,,,,10.528214285714286,,,,,
382,1,1.0,,,,,90.27,46085.245,,,,
383,1,,,1.0,,2.0,695.5,,,40.25714285714286,,353.0857142857143
384,1,,,,,,2418.8767857142857,,,,,
385,1,3.0,2.0,1.0,,,2717.866785714286,48214.33392857143,8922.489285714286,0.0,,
386,1,1.0,,,,,7070.925357142857,10.741785714285713,,,,
387,1,,1.0,,,,486.99071428571426,,4454.228571428571,,,
388,1,,,,1.0,,357.14285714285717,,,,0.7142857142857143,
389,1,1.0,28.0,,,,25.2175,100639.68107142857,0.0,,,
390,1,1.0,79.0,,,,442.34607142857146,0.39571428571428574,5468.865357142858,,,
391,1,,,,1.0,1.0,172.58142857142857,,,,0.7142857142857143,4592.336428571429
392,1,1.0,1.0,,1.0,,3365.341785714286,10933.073214285714,0.0,,520.5289285714285,
393,1,,,,,,208.6057142857143,,,,,
394,1,,,1.0,,1.0,3770.360357142857,,,0.0,,2557.0525000000002
395,1,,,1.0,,,102.75714285714285,,,0.0,,
396,1,,,,,,5669.983928571428,,,,,
397,1,,,,,,565.1235714285714,,,,,
398,2,1.0,,,,,3692.966785714286,23.599285714285713,,,,
399,1,,,,,,451.7967857142857,,,,,
400,1,,,,,,402.31857142857143,,,,,
401,1,,,,1.0,,1439.3242857142857,,,,523.3464285714286,
402,1,,,,,,3358.467857142857,,,,,
403,1,,,,,,1705.675,,,,,
404,1,,,,,,60.051785714285714,,,,,
405,1,,,1.0,1.0,,265.5810714285714,,,0.0,0.7142857142857143,
406,1,,,,,,3481.3732142857143,,,,,
407,1,,,,,,5215.269642857143,,,,,
408,1,1.0,,1.0,,,4133.402142857142,0.0017857142857142859,,0.0,,
409,1,,,1.0,,,348.40285714285716,,,0.0,,
410,1,1.0,1.0,,,,156.84642857142856,6231.441428571428,10837.752142857144,,,
411,1,,4.0,,1.0,1.0,37207.974285714285,,0.0,,2.357142857142857,6852.941071428571
412,1,1.0,,,,,376.8910714285715,2506.551071428571,,,,
413,1,2.0,3.0,1.0,1.0,,1668.3721428571428,20631.684642857144,0.0,0.0,2.357142857142857,
414,1,2.0,14.0,,,,281.49357142857144,714.1492857142857,10218.14392857143,,,
415,1,,,,,,1188.3842857142859,,,,,
416,1,,,,,,906.5260714285714,,,,,
417,1,,,1.0,,,621.9010714285714,,,243.4,,
418,1,,,,,,435.6671428571429,,,,,
419,1,,,1.0,,,352.78214285714284,,,0.0,,
420,1,1.0,1.0,,,,0.0,57822.75714285714,0.0,,,
421,1,,,,,1.0,7074.069285714286,,,,,4850.017142857143
422,1,1.0,1.0,,,,502.44607142857143,92.50607142857143,0.0,,,
423,1,,,,,,13.65,,,,,
424,1,1.0,1.0,,,,17234.89214285714,18231.785,1964.6957142857143,,,
425,1,,,,,,1313.5132142857144,,,,,
426,1,,,,,,515.7646428571428,,,,,
427,1,,,,,,1194.0639285714285,,,,,
428,2,,,,,,3779.613214285714,,,,,
429,1,,1.0,,,1.0,1721.3514285714284,,0.0,,,901.5175
430,1,,,,,,2.447142857142857,,,,,
431,1,,,,,,38.55107142857143,,,,,
432,1,1.0,1.0,1.0,,,11.142142857142858,1325.1767857142856,0.0,284.9132142857143,,
433,2,,,,,,114.64285714285714,,,,,
434,1,,,,,,2469.842857142857,,,,,
435,1,,,,,,0.0,,,,,
436,1,,,,,,40.60071428571428,,,,,
437,1,,,,,,3.4274999999999998,,,,,
438,1,,,,,,8206.767142857143,,,,,
439,1,,,,,,26.425,,,,,
440,2,,,,,,6129.028928571429,,,,,
441,1,,,,,,0.5700000000000001,,,,,
442,1,,,1.0,,,1083.015357142857,,,92.625,,
443,1,,,,,2.0,0.0,,,,,1038.6967857142856
444,1,,,,,1.0,494.055,,,,,608.9953571428571
445,1,,2.0,,,,2.563928571428572,,0.0,,,
446,1,,,,,,13956.804999999998,,,,,
447,1,,,,,,2418.475,,,,,
448,1,1.0,5.0,1.0,,,39.75107142857143,0.013571428571428571,2989.4539285714286,0.0,,
449,1,,,1.0,,,16109.628571428571,,,0.0,,
450,1,,,,,,2.8578571428571427,,,,,
451,1,,7.0,,1.0,,6.699285714285715,,538.1303571428572,,13.071428571428571,
452,2,,,,,,4474.592142857143,,,,,
453,1,1.0,3.0,,,,605.08,26022.27464285714,1825.0935714285715,,,
454,1,,,,,,0.0,,,,,
455,1,2.0,,,1.0,,33553.847499999996,1073.4035714285715,,,530.3564285714285,
456,1,,4.0,,,,0.0,,86589.77107142856,,,
457,1,,,1.0,,,427.5753571428572,,,0.0,,
458,1,,,,,,1744.0264285714286,,,,,
459,1,,,,,,8.997857142857143,,,,,
460,1,,4.0,,,,275.7164285714286,,0.0,,,
461,1,1.0,,,,,6.537857142857143,6128.227857142857,,,,
462,1,,,1.0,,,570.3421428571429,,,104.01142857142858,,
463,1,,,1.0,,,182.75821428571427,,,0.0,,
464,2,,,1.0,,,2249.0496428571428,,,237.29714285714286,,
465,1,,,,1.0,,1.7085714285714286,,,,1.1785714285714286,
466,1,1.0,,,,,178.57142857142858,2771.098571428571,,,,
467,1,,,,,,355.5842857142857,,,,,
468,1,1.0,3.0,,,,20.955000000000002,745.5110714285714,0.0,,,
469,1,,,,,,4415.646071428571,,,,,
470,1,,,,,,20.607499999999998,,,,,
471,1,,,,,,1923.2803571428572,,,,,
